0.2051,0.2000,0.0000,0.2222,0.0000,0.4833,0.0138,0.0000,1.0000,1.0000,0.0000,1.0
0.0769,0.2000,0.0000,0.3333,0.1053,0.4833,0.0025,0.0000,1.0000,0.0000,0.2222,1.0
0.3333,0.0000,0.0000,0.0000,0.0000,0.5000,0.0025,1.0000,0.0000,0.0000,0.0000,0.0
0.2949,0.4000,0.0000,0.5556,0.3684,0.4833,0.0088,0.0000,1.0000,0.0000,0.1111,1.0
0.3205,0.0000,0.0000,0.3333,0.0789,0.4833,0.0013,0.0000,0.0000,0.0000,0.2222,0.0
0.2692,0.4000,1.0000,0.0000,0.0000,0.4833,0.0037,1.0000,0.0000,0.0000,0.0000,0.0
0.1154,0.4000,0.0000,0.3333,0.0000,0.4833,0.0025,0.0000,0.0000,0.0000,0.3333,0.0
0.2436,0.4000,1.0000,0.0000,0.0000,0.5000,0.0013,1.0000,0.0000,0.0000,0.0000,0.0
0.2949,0.2000,0.0000,0.3333,0.0000,0.4833,0.0013,0.0000,0.0000,0.0000,0.1111,0.0
0.3718,0.4000,1.0000,0.0000,0.0263,0.1667,0.0187,0.0000,1.0000,0.0000,0.0000,1.0
0.1667,0.4000,0.0000,0.4444,0.1579,0.4833,0.0025,0.0000,1.0000,1.0000,0.3333,1.0
0.1667,0.4000,0.0000,0.2222,0.1316,0.4833,0.0025,0.0000,1.0000,0.0000,0.1111,1.0
0.5897,0.2000,0.0000,0.5556,0.3421,0.4833,0.0025,0.0000,1.0000,0.0000,0.2222,1.0
0.1154,0.4000,0.0000,0.1111,0.0000,0.5000,0.0013,1.0000,1.0000,0.0000,0.2222,1.0
0.0385,0.4000,1.0000,0.3333,0.0000,0.4667,0.0025,0.0000,0.0000,0.0000,0.4444,0.0
0.0769,0.6000,0.0000,0.3333,0.0263,0.5000,0.0013,0.0000,1.0000,0.0000,0.4444,1.0
0.3205,0.4000,0.0000,0.0000,0.0263,0.4833,0.0025,1.0000,0.0000,0.0000,0.1111,0.0
0.1795,0.0000,0.0000,0.2222,0.0000,0.4833,0.0025,1.0000,0.0000,0.0000,0.3333,0.0
0.1154,0.2000,0.0000,0.2222,0.2105,0.4833,0.0225,0.0000,1.0000,1.0000,0.2222,1.0
0.1026,0.2000,0.0000,0.6667,0.1316,0.4833,0.0013,0.0000,1.0000,0.0000,0.6667,1.0
0.1923,0.2000,0.0000,1.0000,0.0000,0.5000,0.0475,0.0000,1.0000,1.0000,0.5556,1.0
